My Generated Report

Reach_Numb,Site_Name_,DDLat,DDLon,ORIG_OID,GlobalID,Cond_2023,Reach,Site_Name,GW_Well,Cond__Class,GW_Mean_Depth__m_,GW_Max_Depth__m_,GW_Min_Depth__m_,Annual_GW_Flux__m_,F__Flow_multi_year_mean,F__Flow_2023,ObjectId
1,"Palominas South","31.35703620N","110.12733882W",0,"843bfbfa-cc02-4f95-8f24-be99629a0ba0",2,1,"Palominas South","PLS-LI","2","2.23","2.81","1.71","1.1","--","--",1
1,"Palominas","31.36960903N","110.11881054W",1,"0b850470-0efa-4582-b80b-37d1e082b17c",2,1,"Palominas","PAL-LD","2","1.77","2.34","1.34","1.01","49","34.8",2
2,"Kolbe","31.41462225N","110.10471384W",2,"774260d4-b880-4c37-9642-bade68168d5f",3,2,"Kolbe","KOL-LI","3","1.7","1.81","1.63","0.18","--","--",3
2,"Hereford","31.45435359N","110.10959840W",3,"f50090b6-bfdb-445e-be90-0aabd7d1864a",3,2,"Hereford","HER-LD","3","1.64","2.14","1.36","0.78","100","--",4
3,"Hunter","31.48328063N","110.11774680W",4,"41a0719c-cf60-4c82-8fc9-46f71b67c108",3,3,"Hunter","HUN-LO","3","1.71","2.33","1.34","0.98","83.8","60.4",5
4,"Cottonwood","31.51945299N","110.13004529W",5,"5d4c21f3-3fe7-4a79-98a9-63cf0dfd5093",3,4,"Cottonwood","COT-LD","3","2.43","2.68","2.27","0.41","--","70.6",6
5,"Lewis Springs","31.55741426N","110.14022934W",6,"37268e51-bfc2-4d94-a586-023820d90045",2,5,"Lewis Springs","LSP-LED","2","0.92","1.08","0.79","0.29","99.3","--",7
6,"Moson","31.61172424N","110.16714052W",7,"f52d31b3-127a-48fb-8979-fe692379fc29",3,6,"Moson","MOS-LND","3","1.56","1.65","1.49","0.16","100","100",8
7,"Charleston bridge","31.62802431N","110.17648508W",8,"00d1b50a-6a8e-4db8-b315-9baa4bcab2ce",3,7,"Charleston Bridge","CHB-LI","3","1.8","2","1.65","0.35","100","100",9
8,"Charleston mesquite","31.66592771N","110.17826054W",9,"788a5a83-5743-456d-ab21-a10f2eda4e5a",2,8,"Charleston Mesquite","--","--","--","--","--","--","--","81.9",10
8,"Boquillas","31.69032597N","110.18437634W",10,"97639e09-fa60-4ccd-b12b-ccb9e7abfab0",3,8,"Boquillas","BOQ-LI","3","2.27","2.39","2.15","0.25","99.6","97.8",11
9,"Fairbank","31.72196102N","110.19359875W",11,"9d491a09-8627-42f2-b0c0-1723f98e3c5e",2,9,"Fairbank","FBK-LI","2","2.53","3.14","2.24","0.89","75.9","56.8",12
10,"Fairbank North","31.73998353N","110.19027558W",12,"7b344888-f05b-41ee-94da-66e88f5bb8eb",2,10,"Fairbank North","--","--","--","--","--","--","--","57.8",13
11,"Tombstone","31.75177785N","110.20073114W",13,"af26fdf8-c519-4414-b155-4440657b488c",2,11,"Tombstone","TOM-LI","2","2.65","4.25","1.58","2.66","64.8","48.2",14
12,"Contention","31.76713386N","110.20376714W",14,"451423d7-5cf9-4c55-ad6d-61c5b3fe417f",2,12,"Contention","CON-LID","2","2.85","4.89","1.82","3.07","51.7","47.3",15
12,"Summers","31.79338714N","110.21833028W",15,"7b28f5d7-8c2d-4a82-b6e4-b468a36bea2f",2,12,"Summers","SUM-LI","2","1.28","2.27","0.85","1.42","--","--",16
13,"St. David","31.81592076N","110.21497087W",16,"34080d21-5c3a-447f-9a98-1038ebd118d3",2,13,"St. David","STD-LO","2","1.36","2.03","0.57","1.47","45.3","59.6",17
14,"Escalante","31.86009843N","110.21036850W",17,"9a5a4fb7-0bf0-4302-9ddb-25abeb72410c",3,14,"Escalante","---","3","--","--","--","--","--","100",18
3,"Hunter South","31.47059958N","110.11049728W",18,"c7f3631e-2157-44c7-a02f-02c284f44000",3,3,"Hunter South","--","--","--","--","--","--","--","--",19
4,"Cottonwood North","31.53028588N","110.13099819W",19,"ac96e530-f417-4bc2-a611-73fa2d2fd69f",3,4,"Cottonwood North","--","--","--","--","--","--","--","--",20
7,"Charleston South","31.61986409N","110.17023100W",20,"5276dda4-4276-456f-b580-ca5bcbed0bb7",3,7,"Charleston South","--","--","--","--","--","--","--","--",21
9,"Boquillas North","31.70022915N","110.18112400W",21,"1ef567e7-10e2-46e0-a46d-6a392c9e5fa4",3,9,"Boquillas North","--","--","--","--","--","--","--","--",22
10,"Depot","31.73012673N","110.20091706W",22,"c32a6014-cc4f-4d2d-8e5c-ca5497f53944",3,10,"Depot","--","--","--","--","--","--","--","--",23
11,"Tombstone South","31.74997360N","110.20074664W",24,"f50aa3f5-33d1-4b11-907c-154bcced638f",2,11,"Tombstone South","--","--","--","--","--","--","--","--",24
13,"St. David North","31.82046385N","110.22021545W",25,"1c731d54-af18-4d59-a9c4-ec89c809dcde",2,13,"St. David North","--","--","--","--","--","--","--","--",25
