0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
54.9,d_18950901,45.1,8.9,0,0,0,0,0,0,0,0,0
53.4,d_18951001,46.6,5.2,0,0,0,0,0,0,0,0,0
68.3,d_18951101,0,0,0,0,0,0,31.7,7.1,0,0,0
73.1,d_18951201,0,0,0,0,0,0,26.9,4.6,0,0,0
83.2,d_18960101,0,0,0,0,0,0,16.8,0,0,0,0
97.2,d_18960201,0,0,0,0,0,0,2.8,0,0,0,0
100,d_18960301,0,0,0,0,0,0,0,0,0,0,0
87.9,d_18960401,0.2,0,0,0,0,0,11.9,0,0,0,0
99.3,d_18960501,0.7,0,0,0,0,0,0,0,0,0,0
95.8,d_18960601,4.2,0,0,0,0,0,0,0,0,0,0
100,d_18960701,0,0,0,0,0,0,0,0,0,0,0
0,d_18960801,100,83.3,7.7,0,0,0,0,0,0,0,0
73.1,d_18960901,26.8,7,0,0,0,0,0,0,0,0,0
0.2,d_18961001,0,0,0,0,0,0,99.8,92.4,14.3,0,0
0.7,d_18961101,0,0,0,0,0,0,99.3,84.5,13.3,0,0
2.6,d_18961201,0,0,0,0,0,0,97.4,52.2,0,0,0
0,d_18970101,0,0,0,0,0,0,100,92.7,16.1,0,0
0.6,d_18970201,0,0,0,0,0,0,99.5,67.2,0.3,0,0
2.8,d_18970301,0,0,0,0,0,0,97.1,41.4,0,0,0
47.9,d_18970401,0,0,0,0,0,0,52,5.2,0,0,0
1,d_18970501,0,0,0,0,0,0,99,64.2,0,0,0
19.2,d_18970601,0,0,0,0,0,0,80.8,5.7,0,0,0
71.8,d_18970701,28.2,0,0,0,0,0,0,0,0,0,0
83.7,d_18970801,16.3,0.6,0,0,0,0,0,0,0,0,0
13.3,d_18970901,0,0,0,0,0,0,86.7,35.2,0,0,0
86.6,d_18971001,0,0,0,0,0,0,13.4,0,0,0,0
89,d_18971101,0,0,0,0,0,0,11,0,0,0,0
99.8,d_18971201,0,0,0,0,0,0,0.2,0,0,0,0
74.9,d_18980101,0,0,0,0,0,0,25.1,0,0,0,0
100,d_18980201,0,0,0,0,0,0,0,0,0,0,0
78.6,d_18980301,0,0,0,0,0,0,21.4,0,0,0,0
89.8,d_18980401,0,0,0,0,0,0,10.2,0,0,0,0
98.8,d_18980501,0,0,0,0,0,0,1.2,0,0,0,0
99.4,d_18980601,0.6,0,0,0,0,0,0,0,0,0,0
67.8,d_18980701,0,0,0,0,0,0,32.2,15.4,1.8,0,0
44.4,d_18980801,0,0,0,0,0,0,55.6,27.4,5.1,0,0
32,d_18980901,0,0,0,0,0,0,68,42.2,11.2,3.5,0
73.6,d_18981001,1.4,0,0,0,0,0,25.1,9.8,0,0,0
54,d_18981101,0,0,0,0,0,0,46,21,2.3,0,0
53.9,d_18981201,0,0,0,0,0,0,46.1,18.8,1.8,0,0
78.8,d_18990101,0.7,0,0,0,0,0,20.6,7.4,0,0,0
83.6,d_18990201,1.8,0,0,0,0,0,14.6,5.2,0,0,0
61.4,d_18990301,34.5,4,0,0,0,0,4.1,0,0,0,0
31.4,d_18990401,68.7,44.8,0.6,0,0,0,0,0,0,0,0
6.5,d_18990501,93.5,60.8,1,0,0,0,0,0,0,0,0
43,d_18990601,57,12.3,0,0,0,0,0,0,0,0,0
99.6,d_18990701,0,0,0,0,0,0,0.4,0,0,0,0
32.6,d_18990801,67.4,9.1,0,0,0,0,0,0,0,0,0
10,d_18990901,89.9,63,0.3,0,0,0,0,0,0,0,0
28.1,d_18991001,71.8,35,0,0,0,0,0,0,0,0,0
28.9,d_18991101,71.1,31.1,0,0,0,0,0,0,0,0,0
19.4,d_18991201,80.6,53.2,0,0,0,0,0,0,0,0,0
7.9,d_19000101,92.1,77.2,2.3,0,0,0,0,0,0,0,0
12.9,d_19000201,87,69.3,0,0,0,0,0,0,0,0,0
9,d_19000301,91,77.5,25.2,0,0,0,0,0,0,0,0
6.1,d_19000401,93.9,80.5,42.4,6.9,0,0,0,0,0,0,0
21.1,d_19000501,78.9,55.3,0.5,0,0,0,0,0,0,0,0
0.9,d_19000601,99.1,78.9,35.7,1.9,0,0,0,0,0,0,0
0,d_19000701,100.1,100.1,99.4,94.1,81.3,0,0,0,0,0,0
0,d_19000801,100,100,100,100,95.2,0,0,0,0,0,0
0.2,d_19000901,99.8,90.4,26.9,0,0,0,0,0,0,0,0
0.2,d_19001001,99.8,90.1,14,0,0,0,0,0,0,0,0
1.6,d_19001101,98.3,70.9,0.2,0,0,0,0,0,0,0,0
0,d_19001201,100,99.9,47.4,0.5,0,0,0,0,0,0,0
0.1,d_19010101,100,93.5,17.1,0,0,0,0,0,0,0,0
9.1,d_19010201,90.9,49.3,0,0,0,0,0,0,0,0,0
22.5,d_19010301,77.4,16.7,0,0,0,0,0,0,0,0,0
100,d_19010401,0,0,0,0,0,0,0,0,0,0,0
76.5,d_19010501,0,0,0,0,0,0,23.5,6.5,0,0,0
55.5,d_19010601,44.5,6.8,0,0,0,0,0,0,0,0,0
98.6,d_19010701,0,0,0,0,0,0,1.4,0,0,0,0
85.7,d_19010801,6.9,0,0,0,0,0,7.4,1.5,0,0,0
89.2,d_19010901,2.4,0,0,0,0,0,8.4,3.8,0,0,0
85,d_19011001,3,0.1,0,0,0,0,12,5.7,0,0,0
81.4,d_19011101,15.5,1.7,0,0,0,0,3.2,0,0,0,0
46.8,d_19011201,53.3,8.8,0,0,0,0,0,0,0,0,0
25.4,d_19020101,74.6,28.1,0,0,0,0,0,0,0,0,0
10.2,d_19020201,89.8,67.1,1.6,0,0,0,0,0,0,0,0
10.9,d_19020301,89,60.5,0.2,0,0,0,0,0,0,0,0
6,d_19020401,94,72.3,18.2,0,0,0,0,0,0,0,0
0,d_19020501,99.9,90.5,27.5,4.9,0,0,0,0,0,0,0
0,d_19020601,100,86.5,29.4,0.4,0,0,0,0,0,0,0
0,d_19020701,100,100,100,100,100,0,0,0,0,0,0
