Week,None,D0,D1,D2,D3,D4,DSCI
2024-08-20,61.47,38.53,0.00,0.00,0.00,0.00,39
2024-08-13,61.86,38.14,0.00,0.00,0.00,0.00,38
2024-08-06,62.08,37.92,0.00,0.00,0.00,0.00,38
2024-07-30,29.85,51.28,18.86,0.00,0.00,0.00,89
2024-07-23,29.80,51.34,18.86,0.00,0.00,0.00,89
2024-07-16,29.80,51.34,18.86,0.00,0.00,0.00,89
2024-07-09,29.46,51.68,18.86,0.00,0.00,0.00,89
2024-07-02,29.46,51.67,18.86,0.00,0.00,0.00,89
2024-06-25,29.46,51.67,18.86,0.00,0.00,0.00,89
2024-06-18,9.64,60.17,30.18,0.00,0.00,0.00,121
2024-06-11,9.64,60.17,30.18,0.00,0.00,0.00,121
2024-06-04,9.30,59.99,30.72,0.00,0.00,0.00,121
2024-05-28,9.27,60.01,30.72,0.00,0.00,0.00,121
2024-05-21,9.27,60.01,30.72,0.00,0.00,0.00,121
2024-05-14,9.27,59.13,31.59,0.00,0.00,0.00,122
2024-05-07,9.30,59.11,31.59,0.00,0.00,0.00,122
2024-04-30,9.30,59.11,31.59,0.00,0.00,0.00,122
2024-04-23,9.30,59.11,31.59,0.00,0.00,0.00,122
2024-04-16,0.00,48.95,51.05,0.00,0.00,0.00,151
2024-04-09,0.00,48.95,51.05,0.00,0.00,0.00,151
2024-04-02,0.00,48.95,51.05,0.00,0.00,0.00,151
2024-03-26,0.00,0.00,50.51,49.49,0.00,0.00,249
2024-03-19,0.00,0.00,50.51,49.49,0.00,0.00,249
2024-03-12,0.00,0.00,47.50,52.50,0.00,0.00,253
2024-03-05,0.00,0.00,47.50,52.50,0.00,0.00,253
2024-02-27,0.00,0.00,47.50,52.50,0.00,0.00,253
2024-02-20,0.00,0.00,47.50,52.50,0.00,0.00,253
2024-02-13,0.00,0.00,2.52,97.48,0.00,0.00,297
2024-02-06,0.00,0.00,2.52,97.48,0.00,0.00,297
2024-01-30,0.00,0.00,2.52,97.48,0.00,0.00,297
2024-01-23,0.00,0.00,0.00,66.26,33.74,0.00,334
2024-01-16,0.00,0.00,0.00,66.26,33.74,0.00,334
2024-01-09,0.00,0.00,0.00,66.26,33.74,0.00,334
2024-01-02,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-12-26,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-12-19,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-12-12,0.00,0.00,0.00,66.26,33.74,0.00,334
2023-12-05,0.00,0.00,0.00,66.26,33.74,0.00,334
