lev_timestamp,site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,timestamp_quarter,baseline_value,relative_to_baseline,ObjectId
9/29/15,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.57,null,null,1,USDA,m,1,A,T,A,3,31.84,Greater,2
3/1/01,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.05,null,null,1,USGS,m,2,S,V,A,1,null,null,4
1/16/02,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,34.51,null,null,1,USGS,m,2,S,V,A,1,null,null,7
3/10/06,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,35.88,null,null,1,USGS,m,2,S,V,A,1,null,null,10
2/21/07,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,33.23,null,null,1,USGS,m,2,S,V,A,1,33.9175,Less,13
2/20/08,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,34.3,null,null,1,USGS,m,2,S,V,A,1,33.994,Greater,16
2/25/09,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,31.24,null,null,1,USGS,m,2,S,V,A,1,33.662499999999994,Less,19
3/17/10,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,30.14,null,null,1,USGS,m,2,S,T,A,1,32.958,Less,22
3/17/11,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,31.18,null,null,1,USDA,m,1,A,T,A,1,32.66166666666667,Less,25
4/11/12,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,31.77,null,null,1,USDA,m,1,A,T,A,1,32.53428571428571,Less,28
1/16/13,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.78,null,null,1,USDA,m,1,A,T,A,1,32.565,Greater,31
3/19/13,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.24,null,null,1,USDA,m,1,A,T,A,1,32.11,Greater,34
3/11/14,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.94,null,null,1,USDA,m,1,A,T,A,1,32.073750000000004,Greater,37
4/2/15,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.08,null,null,1,USDA,m,1,A,T,A,1,31.79625,Greater,40
4/11/16,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.96,null,null,1,USDA,m,1,A,T,A,1,32.011250000000004,Greater,43
1/18/17,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.9,null,null,1,USDA,m,1,A,T,A,1,32.11,Greater,46
4/4/17,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.55,null,null,1,USDA,m,1,A,T,A,1,32.37777777777778,Greater,49
1/17/18,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,33.5,null,null,1,USDA,m,1,A,T,A,1,32.49,Greater,52
3/5/18,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.96,null,null,1,USGS,m,2,S,S,A,1,32.53272727272727,Greater,55
4/11/18,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.88,null,null,1,USDA,m,1,A,T,A,1,32.68727272727273,Greater,58
1/30/19,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,33.18,null,null,1,USDA,m,1,A,T,A,1,32.72833333333333,Greater,61
3/22/19,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.56,null,null,1,USGS,m,2,S,S,A,1,32.715384615384615,Less,64
3/27/19,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,32.49,null,null,1,USDA,m,1,A,T,A,1,32.699285714285715,Less,67
4/8/20,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,31.09,null,null,1,USGS,m,2,S,V,A,1,32.674166666666665,Less,70
2/11/21,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,34.26,null,null,1,USGS,m,2,S,V,A,1,32.79615384615385,Greater,73
3/28/22,3.12044E+14,D-24-21 17BCB3 [Baumkirchner 3],31.3456576,-110.239245,Baumkirchner 3,USGS,GW,35.35,null,null,1,USGS,m,2,S,V,A,1,32.98153846153846,Greater,76
