system:index,NDVI,day,month,name,year,.geo
LC08_034038_20130410_00000000000000000006_0,0.15473291,10,4,D-24-22 04ADD [PAL-SA],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000027_0,0.14697437,17,4,D-22-22 06AAA3 [LSP-3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000028_0,0.14697437,17,4,D-22-22 06AAA7 [LSP-2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001c_0,0.14779824,17,4,D-22-22 17BDD2 [COTUWD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000024_0,0.15340021,17,4,D-21-22 19CDB2 [CLRSUD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001e_0,0.15864918,17,4,D-22-22 06ABD [LSP-6],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000035_0,0.16745605,17,4,D-19-21 21ACC2 [CONLID],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000025_0,0.2278798,17,4,D-21-21 13BAB4 [MOSLNW],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000030_0,0.14680916,17,4,D-19-21 28ACD [TOM-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000011_0,0.16152185,17,4,D-22-22 33BBC [HUN-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001b_0,0.4614846,17,4,D-22-22 17ACC1 [COT-LS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000020_0,0.4614846,17,4,D-22-22 17ACC2 [COT-LD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000002c_0,0.15575907,17,4,D-20-21 10AAC2 [FBK-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000002e_0,0.14257565,17,4,D-20-21 15DDB [BOQ-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001d_0,0.58051956,17,4,D-22-22 06AAA1 [LSPLED],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000018_0,0.4115959,17,4,D-22-22 17ACC3 [COTBLM],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
