system:index,NDVI,day,month,name,year,.geo
LC08_034038_20130410_00000000000000000004_0,0.20384957,10,4,D-23-23 32BCB [FOUDY],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_034038_20130410_00000000000000000011_0,0.22893696,10,4,D-21-23 17DDA,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000000_0,0.21991016,17,4,D-24-21 17BCB3 [Baumkirchner 3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000001_0,0.10609877,17,4,D-23-22 33BCC [PALO FH],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000002_0,0.17279488,17,4,D-23-22 29DBD1 [3-CAN S],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000004_0,0.0416132,17,4,D-23-23 32BCB [FOUDY],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000006_0,0.19614162,17,4,D-23-21 06CCC2 [RAMBO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000007_0,0.13796492,17,4,D-22-21 35ADD1 PZ1 [RANCH DEEP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000008_0,0.13796492,17,4,D-22-21 35ADD1 PZ2 [RANCH SHALLOW],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000009_0,0.29773828,17,4,D-22-20 26DDC [ANTELOPE 2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000000a_0,0.19051273,17,4,D-22-20 26ABB1 [ANTELOPE 3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000000b_0,0.14646444,17,4,D-22-21 11BDA1 [SB RANCH],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000000c_0,0.15516862,17,4,D-21-21 27CBD [BELLA VISTA],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000000d_0,0.16856349,17,4,D-22-22 23BCA [MISTY RAY],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000000e_0,0.1320271,17,4,D-21-21 20ACC1 [MW-4],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000000f_0,0.14961006,17,4,D-21-21 19CDD1 [MW-3],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000010_0,0.15845762,17,4,D-21-20 20DCD1 [TW-1] UNSURV,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000011_0,0.21927164,17,4,D-21-23 17DDA,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000012_0,0.16922012,17,4,D-21-20 14DAD1 [MW-6],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000013_0,0.1718023,17,4,D-21-22 13CAD,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000014_0,0.15910241,17,4,D-21-20 15ACD1 [TW-4],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000015_0,0.14681794,17,4,D-21-21 17BCC1 [TW-9],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000016_0,0.16222753,17,4,D-21-20 13CBD1 [TW-8],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000017_0,0.16838515,17,4,D-21-20 13CBA1 [CASING-8],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000018_0,0.1762289,17,4,D-21-20 11BCD1 [TW-7],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_00000000000000000019_0,0.156325,17,4,D-21-21 16AAD1 [MW-5],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001a_0,0.1448771,17,4,D-21-21 10ADA1 [MW-1],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001b_0,0.14433523,17,4,D-21-20 10BBD1 [TW-9W],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001c_0,0.14090443,17,4,D-21-20 09ABC1 [MW-2],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001d_0,0.13434623,17,4,D-20-21 33CDD1 [MW-7],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130417_0000000000000000001e_0,0.13221826,17,4,D-20-20 35CCB1 [TW-6],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
