system:index,EVI,day,month,name,year,.geo
19990101_00000000000000000027_0,0.08353820717326209,1,1,D-22-22 06AAA3 [LSP-3],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000028_0,0.08353820717326209,1,1,D-22-22 06AAA7 [LSP-2],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000e_0,0.07013753073786902,1,1,D-23-22 09ACD1 [HERSUS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000000f_0,0.08375235661094689,1,1,D-23-22 09ACD2 [HERSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000001c_0,0.0621934040023578,1,1,D-22-22 17BDD2 [COTUWD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000024_0,0.06588762479638974,1,1,D-21-22 19CDB2 [CLRSUD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000010_0,0.136125634865338,1,1,D-23-22 04DCD1 [HER-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000017_0,0.136125634865338,1,1,D-23-22 04DCD2 [HER-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000001e_0,0.08102460166813893,1,1,D-22-22 06ABD [LSP-6],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000035_0,0.06774939036778978,1,1,D-19-21 21ACC2 [CONLID],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000025_0,0.09203594536494711,1,1,D-21-21 13BAB4 [MOSLNW],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000030_0,0.05248125706008419,1,1,D-19-21 28ACD [TOM-LI],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000011_0,0.0736781251592388,1,1,D-22-22 33BBC [HUN-UP],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_0000000000000000001b_0,0.11164755582377789,1,1,D-22-22 17ACC1 [COT-LS],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
19990101_00000000000000000020_0,0.11164755582377789,1,1,D-22-22 17ACC2 [COT-LD],1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
