system:index,NDVI,day,month,name,year,.geo
LC08_035038_20150101_00000000000000000027_0,0.19962496,1,1,D-22-22 06AAA3 [LSP-3],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000028_0,0.19962496,1,1,D-22-22 06AAA7 [LSP-2],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000000e_0,0.21787062,1,1,D-23-22 09ACD1 [HERSUS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000000f_0,0.21787062,1,1,D-23-22 09ACD2 [HERSUD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000001c_0,0.18673642,1,1,D-22-22 17BDD2 [COTUWD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000024_0,0.20212825,1,1,D-21-22 19CDB2 [CLRSUD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000010_0,0.17839238,1,1,D-23-22 04DCD1 [HER-LS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000017_0,0.17839238,1,1,D-23-22 04DCD2 [HER-LD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000001e_0,0.17880315,1,1,D-22-22 06ABD [LSP-6],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000035_0,0.2209993,1,1,D-19-21 21ACC2 [CONLID],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000025_0,0.20594008,1,1,D-21-21 13BAB4 [MOSLNW],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000030_0,0.19223824,1,1,D-19-21 28ACD [TOM-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000011_0,0.19054945,1,1,D-22-22 33BBC [HUN-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000001b_0,0.2459774,1,1,D-22-22 17ACC1 [COT-LS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000020_0,0.2459774,1,1,D-22-22 17ACC2 [COT-LD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000002c_0,0.24726726,1,1,D-20-21 10AAC2 [FBK-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000002e_0,0.176083,1,1,D-20-21 15DDB [BOQ-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000001d_0,0.26885852,1,1,D-22-22 06AAA1 [LSPLED],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000018_0,0.23886627,1,1,D-22-22 17ACC3 [COTBLM],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000034_0,0.15934332,1,1,D-20-21 15DBD1 [BOQ-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000038_0,0.256064,1,1,D-19-21 05AAA2 [STD-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000019_0,0.28477058,1,1,D-22-22 28CAA1 [HUN-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000000b_0,0.26573718,1,1,D-23-22 22CBB2 [KOL-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000000d_0,0.21382251,1,1,D-23-22 22CBB3 [KOL-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000012_0,0.22576344,1,1,D-22-22 28CCD [HUN-SO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000002_0,0.2749206,1,1,D-23-22 33DCD2 [PALO DEEP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000000a_0,0.17156291,1,1,D-23-22 33ABD02 [ULLRICH],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000036_0,0.26460963,1,1,D-19-21 08DAC1 [SUM-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000005_0,0.29159236,1,1,D-24-22 08DBA2 [PLS-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000006_0,0.18380867,1,1,D-24-22 04ADD [PAL-SA],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000013_0,0.21219198,1,1,D-22-22 28CAA2 [HUN-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000029_0,0.20781891,1,1,D-21-21 13BAB1 [MOSLNS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000031_0,0.20781891,1,1,D-21-21 13BAB2 [MOSLND],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000001_0,0.2447839,1,1,D-24-22 04CBC2 [PALUWD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000008_0,0.2447839,1,1,D-24-22 04CBC1 [PALUWS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000001a_0,0.19343339,1,1,D-22-22 06AAA4 [LSP-4],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000001f_0,0.19343339,1,1,D-22-22 06AAA6 [LSP-1],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000022_0,0.19343339,1,1,D-22-22 06AAA5 [LSP-5],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000021_0,0.31677467,1,1,D-22-22 05BBD2 [LSPUED],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000023_0,0.20153466,1,1,D-21-22 19CDB1 [CLRSUS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_00000000000000000026_0,0.16642508,1,1,D-21-21 13BAC1 [MOSWAS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150101_0000000000000000002d_0,0.16207571,1,1,D-20-21 03CBA [FBK-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
