Year,Month,Day,Gage 1,Gage 2,Gage 400,Gage 402,Gage 405,Gage 406,Gage 411,Gage 417,Gage 418,Gage 425,Gage 427
2000,1,2,0,0.254,0,0,0,0,0,0,0,0,0
2000,2,21,3.048,0,0,0,0,0,0,0,0,0,0
2000,2,22,0.762,0,0,0,0,0,0,0,0,0,0
2000,3,6,6.477,7.62,0,0,0,0,0,0,0,0,0
2000,3,7,2.032,2.667,0,0,0,0,0,0,0,0,0
2000,3,21,0.762,0.889,0,0,0,0,0,0,0,0,0
2000,6,1,7.239,7.366,0,0,0,0,0,0,0,0,0
2000,6,17,0,0.254,0,0,0,0,0,0,0,0,0
2000,6,20,4.826,3.81,0,0,0,0,0,0,0,0,0
2000,6,22,9.398,4.572,0,0,0,0,0,0,0,0,0
2000,6,23,0.254,0.762,0,0,0,0,0,0,0,0,0
2000,6,27,11.43,13.843,0,0,0,0,0,0,0,0,0
2000,6,29,10.414,8.382,0,0,0,0,0,0,0,0,0
2000,7,7,11.557,15.875,0,0,0,0,0,0,0,0,0
2000,7,9,2.667,1.397,0,0,0,0,0,0,0,0,0
2000,7,13,3.048,5.08,0,0,0,0,0,0,0,0,0
2000,7,23,8.001,7.239,0,0,0,0,0,0,0,0,0
2000,7,27,1.397,2.667,0,0,0,0,0,0,0,0,0
2000,7,28,9.271,7.62,0,0,0,0,0,0,0,0,0
2000,7,30,1.27,0,0,0,0,0,0,0,0,0,0
2000,8,3,0,0.254,0,0,0,0,0,0,0,0,0
2000,8,4,3.937,3.683,0,0,0,0,0,0,0,0,0
2000,8,5,0.254,0.254,0,0,0,0,0,0,0,0,0
2000,8,6,18.669,26.797,0,0,0,0,0,0,0,0,0
2000,8,7,0,0.254,0,0,0,0,0,0,0,0,0
2000,8,9,25.908,13.081,0,0,0,0,0,0,0,0,0
2000,8,10,7.874,5.207,0,0,0,0,0,0,0,0,0
2000,8,11,17.272,2.667,0,0,0,0,0,0,0,0,0
2000,8,13,0.254,0,0,0,0,0,0,0,0,0,0
2000,8,17,23.114,24.765,0,0,0,0,0,0,0,0,0
2000,8,18,2.159,2.159,0,0,0,0,0,0,0,0,0
2000,8,20,17.399,12.954,0,0,0,0,0,0,0,0,0
2000,8,23,0.254,0.381,0,0,0,0,0,0,0,0,0
2000,8,25,2.159,9.271,0,0,0,0,0,0,0,0,0
2000,8,27,17.78,16.002,0,0,0,0,0,0,0,0,0
2000,8,28,6.604,7.366,0,0,0,0,0,0,0,0,0
2000,8,29,0.254,0.254,0,0,0,0,0,0,0,0,0
2000,8,30,15.24,16.002,0,0,0,0,0,0,0,0,0
2000,9,26,4.064,4.572,0,0,0,0,0,0,0,0,0
2000,10,8,2.159,1.651,0,0,0,0,0,0,0,0,0
2000,10,10,17.907,18.034,0,0,0,0,0,0,0,0,0
2000,10,11,24.257,25.146,0,0,0,0,0,0,0,0,0
2000,10,12,10.668,13.843,0,0,0,0,0,0,0,0,0
2000,10,18,0.635,0.254,0,0,0,0,0,0,0,0,0
2000,10,19,14.986,17.653,0,0,0,0,0,0,0,0,0
2000,10,20,3.175,2.159,0,0,0,0,0,0,0,0,0
2000,10,21,0.254,0,0,0,0,0,0,0,0,0,0
2000,10,22,34.925,36.449,0,0,0,0,0,0,0,0,0
2000,10,23,0.254,0.762,0,0,0,0,0,0,0,0,0
2000,10,27,3.048,2.413,0,0,0,0,0,0,0,0,0
2000,10,28,1.143,1.651,0,0,0,0,0,0,0,0,0
2000,10,31,3.048,3.81,0,0,0,0,0,0,0,0,0
2000,11,4,6.223,6.223,0,0,0,0,0,0,0,0,0
2000,11,5,0.381,0.254,0,0,0,0,0,0,0,0,0
2000,11,6,10.287,11.43,0,0,0,0,0,0,0,0,0
2000,11,7,6.985,8.636,0,0,0,0,0,0,0,0,0
2000,11,11,2.159,2.54,0,0,0,0,0,0,0,0,0
2000,12,12,4.826,5.969,0,0,0,0,0,0,0,0,0
2000,12,13,0,0.508,0,0,0,0,0,0,0,0,0
2001,1,6,14.224,8.89,0,0,0,0,0,0,0,0,0
2001,1,8,2.667,2.413,0,0,0,0,0,0,0,0,0
2001,1,9,13.716,11.938,0,0,0,0,0,0,0,0,0
2001,1,12,3.302,4.191,0,0,0,0,0,0,0,0,0
2001,1,16,2.413,2.159,0,0,0,0,0,0,0,0,0
2001,1,18,0.889,0.254,0,0,0,0,0,0,0,0,0
2001,1,27,2.413,1.905,0,0,0,0,0,0,0,0,0
2001,1,28,1.905,1.397,0,0,0,0,0,0,0,0,0
2001,2,9,0,0.254,0,0,0,0,0,0,0,0,0
2001,2,15,0,0.254,0,0,0,0,0,0,0,0,0
2001,2,28,1.016,1.905,0,0,0,0,0,0,0,0,0
2001,3,7,7.112,7.62,0,0,0,0,0,0,0,0,0
2001,4,5,4.953,4.064,0,0,0,0,0,0,0,0,0
2001,4,6,8.763,9.525,0,0,0,0,0,0,0,0,0
2001,4,22,0,0.254,0,0,0,0,0,0,0,0,0
2001,4,25,3.81,3.683,0,0,0,0,0,0,0,0,0
2001,4,27,1.905,0.254,0,0,0,0,0,0,0,0,0
2001,5,12,6.223,3.175,0,0,0,0,0,0,0,0,0
2001,5,13,1.397,0.635,0,0,0,0,0,0,0,0,0
2001,5,19,1.524,2.286,0,0,0,0,0,0,0,0,0
2001,6,19,9.271,5.842,0,0,0,0,0,0,0,0,0
2001,6,20,0.508,0.254,0,0,0,0,0,0,0,0,0
2001,6,21,2.286,1.016,0,0,0,0,0,0,0,0,0
2001,6,23,0.254,0,0,0,0,0,0,0,0,0,0
2001,6,24,8.001,1.651,0,0,0,0,0,0,0,0,0
2001,6,25,1.397,0.254,0,0,0,0,0,0,0,0,0
2001,6,28,0.508,0,0,0,0,0,0,0,0,0,0
2001,7,5,17.653,13.843,0,0,0,0,0,0,0,0,0
2001,7,7,5.207,5.207,0,0,0,0,0,0,0,0,0
2001,7,8,0,0.381,0,0,0,0,0,0,0,0,0
2001,7,9,10.541,7.112,0,0,0,0,0,0,0,0,0
2001,7,11,2.921,4.191,0,0,0,0,0,0,0,0,0
2001,7,12,13.208,4.318,0,0,0,0,0,0,0,0,0
2001,7,13,0.254,0,0,0,0,0,0,0,0,0,0
2001,7,15,3.429,2.413,0,0,0,0,0,0,0,0,0
2001,7,16,10.668,9.906,0,0,0,0,0,0,0,0,0
2001,7,17,1.016,1.27,0,0,0,0,0,0,0,0,0
2001,7,21,0.762,0.889,0,0,0,0,0,0,0,0,0
2001,7,24,18.034,6.604,0,0,0,0,0,0,0,0,0
2001,7,25,0.254,0,0,0,0,0,0,0,0,0,0
2001,7,31,9.144,0.635,0,0,0,0,0,0,0,0,0
2001,8,5,2.159,3.175,0,0,0,0,0,0,0,0,0
2001,8,10,0,0.254,0,0,0,0,0,0,0,0,0
2001,8,11,27.178,27.813,0,0,0,0,0,0,0,0,0
2001,8,13,61.595,41.275,0,0,0,0,0,0,0,0,0
2001,8,14,6.604,8.636,0,0,0,0,0,0,0,0,0
2001,8,17,3.81,5.588,0,0,0,0,0,0,0,0,0
2001,8,18,0,1.397,0,0,0,0,0,0,0,0,0
2001,8,20,2.667,0.889,0,0,0,0,0,0,0,0,0
2001,8,28,0.254,0.254,0,0,0,0,0,0,0,0,0
2001,8,29,12.7,16.383,0,0,0,0,0,0,0,0,0
2001,9,12,6.604,5.207,0,0,0,0,0,0,0,0,0
2001,9,13,8.763,9.398,0,0,0,0,0,0,0,0,0
2001,9,14,25.4,37.592,0,0,0,0,0,0,0,0,0
2001,9,16,0.254,0,0,0,0,0,0,0,0,0,0
2001,9,30,2.413,2.159,0,0,0,0,0,0,0,0,0
2001,10,1,0.508,0.254,0,0,0,0,0,0,0,0,0
2001,10,2,0,1.016,0,0,0,0,0,0,0,0,0
2001,10,3,5.207,6.477,0,0,0,0,0,0,0,0,0
2001,10,6,0,0.254,0,0,0,0,0,0,0,0,0
2001,10,7,0.635,0.254,0,0,0,0,0,0,0,0,0
2001,10,8,0.508,0.254,0,0,0,0,0,0,0,0,0
2001,11,6,1.143,1.143,0,0,0,0,0,0,0,0,0
2001,11,10,0.254,0,0,0,0,0,0,0,0,0,0
2001,11,13,1.651,1.905,0,0,0,0,0,0,0,0,0
2001,12,11,4.064,3.81,0,0,0,0,0,0,0,0,0
2001,12,12,0,1.524,0,0,0,0,0,0,0,0,0
2001,12,15,4.953,7.493,0,0,0,0,0,0,0,0,0
2002,1,28,2.159,2.159,0,0,0,0,0,0,0,0,0
2002,2,2,4.699,4.572,0,0,0,0,0,0,0,0,0
2002,2,3,1.778,2.032,0,0,0,0,0,0,0,0,0
2002,2,4,3.302,4.064,0,0,0,0,0,0,0,0,0
2002,2,14,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,15,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,16,0,0,0.762,0,0,0,0,0,0,0,0
2002,2,18,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,19,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,20,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,21,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,22,0,0,0.762,0,0,0,0,0,0,0,0
2002,2,23,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,24,0,0,0.254,0,0,0,0,0,0,0,0
2002,2,25,0,0,0.508,0,0,0,0,0,0,0,0
2002,2,26,0,0,0.508,0,0,0,0,0,0,0,0
2002,4,6,0.635,1.524,0,0,0,0,0,0,0,0,0
2002,6,27,2.032,1.778,0,0,0,0,0,0,0,0,0
2002,7,8,7.747,6.985,0.635,0,0,0,0,0,0,0,0
2002,7,9,0,0,4.699,0,0,0,0,0,0,0,0
2002,7,11,0.254,1.397,6.731,0,0,0,0,0,0,0,0
2002,7,12,0,0,0.635,0,0,0,0,0,0,0,0
2002,7,14,5.588,18.415,10.795,0,0,0,0,0,0,0,0
2002,7,16,2.921,6.985,1.905,0,0,0,0,0,0,0,0
2002,7,17,0.254,1.397,0,0,0,0,0,0,0,0,0
2002,7,18,1.905,2.413,1.397,0,0,0,0,0,0,0,0
