My Generated Report

site,x,y,year,no_data,dry,no_flow,flowing,total_obs,percent_flowing,ObjectId
"Boquillas",-110.185152,31.68970353,2006,115,0,8,242,365,66.3013698630137,1
"Boquillas",-110.185152,31.68970353,2007,62,0,0,303,365,83.01369863013699,2
"Boquillas",-110.185152,31.68970353,2008,28,0,0,338,366,92.34972677595628,3
"Boquillas",-110.185152,31.68970353,2009,209,0,0,156,365,42.73972602739726,4
"Boquillas",-110.185152,31.68970353,2010,131,0,0,234,365,64.10958904109589,5
"Boquillas",-110.185152,31.68970353,2011,284,0,0,81,365,22.19178082191781,6
"Boquillas",-110.185152,31.68970353,2012,79,0,0,287,366,78.41530054644808,7
"Boquillas",-110.185152,31.68970353,2013,71,0,0,294,365,80.54794520547945,8
"Boquillas",-110.185152,31.68970353,2014,1,0,0,364,365,99.72602739726028,9
"Boquillas",-110.185152,31.68970353,2015,0,0,0,365,365,100,10
"Boquillas",-110.185152,31.68970353,2016,16,0,3,347,366,94.80874316939891,11
"Boquillas",-110.185152,31.68970353,2017,121,0,0,243,364,66.75824175824175,12
"Boquillas",-110.185152,31.68970353,2018,0,0,0,365,365,100,13
"Boquillas",-110.185152,31.68970353,2019,0,0,3,362,365,99.17808219178083,14
"Boquillas",-110.185152,31.68970353,2020,0,0,0,366,366,100,15
"Boquillas",-110.185152,31.68970353,2021,0,0,0,188,188,100,16
"Charleston Gage",-110.1745226,31.62592644,2007,0,0,0,365,365,100,17
"Charleston Gage",-110.1745226,31.62592644,2008,0,0,0,366,366,100,18
"Charleston Gage",-110.1745226,31.62592644,2009,0,0,0,365,365,100,19
"Charleston Gage",-110.1745226,31.62592644,2010,0,0,0,365,365,100,20
"Charleston Gage",-110.1745226,31.62592644,2011,0,0,0,365,365,100,21
"Charleston Gage",-110.1745226,31.62592644,2012,0,0,0,366,366,100,22
"Charleston Gage",-110.1745226,31.62592644,2013,0,0,0,328,328,100,23
"Charleston-Mesquite",-110.1788413,31.66586341,2006,115,35,14,201,365,55.06849315068493,24
"Charleston-Mesquite",-110.1788413,31.66586341,2007,62,29,2,272,365,74.52054794520548,25
"Charleston-Mesquite",-110.1788413,31.66586341,2008,122,23,4,217,366,59.2896174863388,26
"Charleston-Mesquite",-110.1788413,31.66586341,2009,158,0,0,207,365,56.71232876712329,27
"Charleston-Mesquite",-110.1788413,31.66586341,2010,107,3,3,252,365,69.04109589041096,28
"Charleston-Mesquite",-110.1788413,31.66586341,2011,240,0,0,125,365,34.24657534246575,29
"Charleston-Mesquite",-110.1788413,31.66586341,2012,48,22,6,290,366,79.23497267759562,30
"Charleston-Mesquite",-110.1788413,31.66586341,2013,71,22,0,272,365,74.52054794520548,31
"Charleston-Mesquite",-110.1788413,31.66586341,2014,0,28,7,330,365,90.41095890410958,32
