COT-LD,COTBLM,COTUCD,COTUWS,COTUWD,COTSUM,year,month
---,---,---,---,---,---,2000,7
---,---,---,---,---,---,2000,8
---,4.96,---,---,---,---,2000,9
---,4.36,---,---,---,---,2000,10
---,4.02,---,---,---,---,2000,11
---,4.2,---,---,---,---,2000,12
---,4.26,---,---,---,---,2001,1
---,4.31,---,---,---,---,2001,2
---,4.35,---,---,---,---,2001,3
---,4.4,---,---,---,---,2001,4
---,4.5,---,---,---,---,2001,5
2.33,4.72,0.55,3.98,1.05,---,2001,6
2,4.71,0.49,4.01,1.03,---,2001,7
1.8,4.57,0.4,4.05,0.96,---,2001,8
2.19,4.8,0.5,4.11,1.02,---,2001,9
2.32,4.95,0.56,4.13,1.06,---,2001,10
2.29,4.93,0.54,4.15,1.06,---,2001,11
2.17,4.74,0.49,4.16,1.02,0.36,2001,12
2.14,4.68,0.46,4.17,1,0.35,2002,1
2.13,4.66,0.45,4.17,0.99,0.32,2002,2
2.14,4.66,0.43,4.17,0.98,0.33,2002,3
2.25,4.73,0.46,4.17,0.99,0.33,2002,4
2.36,4.83,0.5,4.17,1.02,0.35,2002,5
2.42,4.98,0.57,4.18,1.09,0.36,2002,6
2.38,5.17,0.64,4.21,1.16,0.4,2002,7
2.13,4.89,0.56,4.24,1.11,0.4,2002,8
2.41,5.16,0.65,4.26,1.17,0.42,2002,9
2.42,5.18,0.68,4.28,1.21,0.45,2002,10
2.38,5.22,0.66,4.31,1.21,0.46,2002,11
2.36,5.11,0.63,4.34,1.18,0.44,2002,12
2.29,5.05,0.58,4.35,1.14,0.43,2003,1
2.25,5,0.54,dry,1.1,0.39,2003,2
2.24,4.96,0.53,dry,---,0.42,2003,3
2.29,4.93,0.54,4.35,---,0.42,2003,4
2.36,5,0.56,4.33,---,0.42,2003,5
2.44,5.26,---,4.34,---,0.46,2003,6
2.36,5.38,---,---,---,0.53,2003,7
2.15,5.4,0.74,4.36,1.27,0.55,2003,8
2.37,5.49,0.88,4.38,1.31,0.58,2003,9
