HER-LS,HER-LD,HERUES,HERUED,HERUWS,HERUWD,year,month
---,2.32,2.8,3.5,---,---,2000,7
---,1.69,2.25,2.96,---,---,2000,8
2.11,1.96,2.38,3.11,---,---,2000,9
1.61,1.22,2.09,2.73,---,---,2000,10
2.03,0.52,2.27,2.86,---,---,2000,11
1.92,1.92,2.41,3.09,---,---,2000,12
1.91,1.96,2.44,3.13,---,---,2001,1
1.93,1.98,2.47,3.16,---,---,2001,2
1.95,1.98,2.48,3.17,---,---,2001,3
1.91,1.94,2.45,3.13,4.21,4.26,2001,4
2,2.03,2.54,3.2,4.28,4.34,2001,5
2.09,2.11,2.62,3.31,4.41,4.47,2001,6
2.04,2.03,2.51,3.24,4.34,4.39,2001,7
1.88,1.82,2.27,3.02,4.08,4.13,2001,8
2.03,2.02,2.5,3.24,4.29,4.34,2001,9
2.07,2.07,2.58,3.29,4.37,4.42,2001,10
2.08,2.06,2.57,3.27,4.35,4.4,2001,11
2.05,2.03,2.53,3.21,4.3,4.34,2001,12
2.04,2,2.51,3.2,4.28,4.32,2002,1
2.05,2.01,2.52,3.21,4.27,4.31,2002,2
2.04,2,---,3.21,4.27,4.31,2002,3
2.07,2.06,---,3.27,4.33,4.37,2002,4
2.13,2.12,---,3.34,4.41,4.45,2002,5
2.15,2.17,2.76,3.41,4.45,4.51,2002,6
2.23,2.24,2.78,3.5,---,4.57,2002,7
2.12,2.09,2.6,3.3,---,4.38,2002,8
2.33,2.31,2.84,3.52,---,4.6,2002,9
2.24,2.25,2.78,3.45,4.48,4.56,2002,10
2.04,1.98,2.62,3.29,4.39,4.42,2002,11
1.9,1.92,2.47,3.15,4.25,4.28,2002,12
1.88,1.89,2.44,3.12,4.21,4.25,2003,1
1.85,1.86,2.41,3.09,4.18,4.22,2003,2
1.86,1.86,2.4,3.09,4.18,4.21,2003,3
1.89,1.88,---,3.11,4.21,4.24,2003,4
1.98,1.96,---,3.2,4.29,4.33,2003,5
2.21,2.18,---,3.41,4.48,4.52,2003,6
2.41,2.39,---,3.6,4.65,4.68,2003,7
2.14,2.1,2.61,3.31,4.39,---,2003,8
2.32,2.29,2.8,3.48,4.52,---,2003,9
