KOL-LI,KOL-LO,KOL-UP,year,month
3.98,3.91,4.4,2001,6
3.85,3.78,4.38,2001,7
3.61,3.54,4.12,2001,8
3.84,3.76,4.32,2001,9
3.88,3.79,4.36,2001,10
3.82,3.73,4.25,2001,11
3.76,3.65,4.1,2001,12
3.74,3.63,4.03,2002,1
3.73,3.62,3.99,2002,2
3.76,3.65,4.02,2002,3
3.84,3.74,4.21,2002,4
3.9,3.81,4.35,2002,5
3.99,3.91,4.48,2002,6
4.01,3.93,4.57,2002,7
3.91,3.8,4.39,2002,8
4.12,4.01,4.56,2002,9
4.12,4,4.55,2002,10
3.99,3.88,4.38,2002,11
3.91,3.8,4.25,2002,12
3.9,3.78,4.2,2003,1
3.88,3.76,4.17,2003,2
3.87,3.76,4.15,2003,3
3.9,3.79,4.17,2003,4
3.98,3.87,4.33,2003,5
4.1,3.99,4.52,2003,6
4.1,4,4.61,2003,7
3.96,3.86,4.48,2003,8
4.08,3.98,4.56,2003,9
