name,well,evi
D-22-22 06AAA3 [LSP-3],alluvial,yes
D-22-22 06AAA7 [LSP-2],alluvial,yes
D-23-22 09ACD1 [HERSUS],alluvial,yes
D-23-22 09ACD2 [HERSUD],alluvial,yes
D-22-22 17BDD2 [COTUWD],alluvial,yes
D-21-22 19CDB2 [CLRSUD],alluvial,yes
D-23-22 04DCD1 [HER-LS],alluvial,yes
D-23-22 04DCD2 [HER-LD],alluvial,yes
D-22-22 06ABD [LSP-6],alluvial,yes
D-19-21 21ACC2 [CONLID],alluvial,yes
D-21-21 13BAB4 [MOSLNW],alluvial,yes
D-19-21 28ACD [TOM-LI],alluvial,yes
D-22-22 33BBC [HUN-UP],alluvial,yes
D-22-22 17ACC1 [COT-LS],alluvial,yes
D-22-22 17ACC2 [COT-LD],alluvial,yes
D-20-21 10AAC2 [FBK-UP],alluvial,yes
D-20-21 15DDB [BOQ-UP],alluvial,yes
D-22-22 06AAA1 [LSPLED],alluvial,yes
D-22-22 17ACC3 [COTBLM],alluvial,yes
D-20-21 15DBD1 [BOQ-LI],alluvial,yes
D-19-21 05AAA2 [STD-LO],alluvial,yes
D-22-22 28CAA1 [HUN-LI],alluvial,yes
D-23-22 22CBB2 [KOL-LO],alluvial,yes
D-23-22 22CBB3 [KOL-UP],alluvial,yes
D-22-22 28CCD [HUN-SO],alluvial,yes
D-23-22 33DCD2 [PALO DEEP],alluvial,yes
D-23-22 33ABD02 [ULLRICH],alluvial,yes
D-19-21 08DAC1 [SUM-LI],alluvial,yes
D-24-22 08DBA2 [PLS-LO],alluvial,yes
D-24-22 04ADD [PAL-SA],alluvial,yes
D-22-22 28CAA2 [HUN-LO],alluvial,yes
D-21-21 13BAB1 [MOSLNS],alluvial,yes
D-21-21 13BAB2 [MOSLND],alluvial,yes
D-24-22 04CBC2 [PALUWD],alluvial,yes
D-24-22 04CBC1 [PALUWS],alluvial,yes
D-22-22 06AAA4 [LSP-4],alluvial,yes
D-22-22 06AAA6 [LSP-1],alluvial,yes
D-22-22 06AAA5 [LSP-5],alluvial,yes
D-22-22 05BBD2 [LSPUED],alluvial,yes
D-21-22 19CDB1 [CLRSUS],alluvial,yes
D-21-21 13BAC1 [MOSWAS],alluvial,yes
D-20-21 03CBA [FBK-LI],alluvial,yes
D-24-22 04CBA3 [PAL-US],alluvial,yes
D-24-22 04CBA4 [PAL-UD],alluvial,yes
D-24-22 04CBA1 [PAL-LS],alluvial,yes
D-24-22 04CBA2 [PAL-LD],alluvial,yes
D-20-21 14BCC1 [BOQSUS],alluvial,yes
D-20-21 14BCC2 [BOQSUD],alluvial,yes
D-19-21 05AAA1 [STD-LI],alluvial,yes
D-21-21 02DDC [CHB-LI],alluvial,yes
D-22-22 06AAB [LSPUWD],alluvial,yes
D-20-21 03CAB [FBK-LO],alluvial,yes
D-24-22 08DBA1 [PLS-LI],alluvial,yes
D-23-22 22CBB1 [KOL-LI],alluvial,yes
D-23-22 04DCA1 [HERUWS],alluvial,yes
D-23-22 04DCD4 [HERUED],alluvial,yes
D-23-22 04DCD3 [HERUES],alluvial,yes
D-24-21 17BCB3 [Baumkirchner 3],regional,yes
D-23-22 33BCC [PALO FH],regional,yes
D-23-22 29DBD1 [3-CAN S],regional,yes
D-23-22 29ACB1 [3-CAN N],regional,yes
D-23-23 32BCB [FOUDY],regional,yes
D-23-22 17ACC [HOLDER],regional,yes
D-23-21 06CCC2 [RAMBO],regional,yes
D-22-21 35ADD1 PZ1 [RANCH DEEP],regional,yes
D-22-21 35ADD1 PZ2 [RANCH SHALLOW],regional,yes
D-22-20 26DDC [ANTELOPE 2],regional,yes
D-22-20 26ABB1 [ANTELOPE 3],regional,yes
D-22-21 11BDA1 [SB RANCH],regional,yes
D-21-21 27CBD [BELLA VISTA],regional,yes
D-22-22 23BCA [MISTY RAY],regional,yes
D-21-21 20ACC1 [MW-4],regional,yes
D-21-21 19CDD1 [MW-3],regional,yes
D-21-20 20DCD1 [TW-1] UNSURV,regional,yes
D-21-23 17DDA,regional,yes
D-21-20 14DAD1 [MW-6],regional,yes
D-21-22 13CAD,regional,yes
D-21-20 15ACD1 [TW-4],regional,yes
D-21-21 17BCC1 [TW-9],regional,yes
D-21-20 13CBD1 [TW-8],regional,yes
D-21-20 13CBA1 [CASING-8],regional,yes
D-21-20 11BCD1 [TW-7],regional,yes
D-21-21 16AAD1 [MW-5],regional,yes
D-21-21 10ADA1 [MW-1],regional,yes
D-21-20 10BBD1 [TW-9W],regional,yes
D-21-20 09ABC1 [MW-2],regional,yes
D-20-21 33CDD1 [MW-7],regional,yes
D-20-20 35CCB1 [TW-6],regional,yes
D-20-19 13DDC1 [RAIN],regional,yes
